epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
7,67.7054,2.79745,4.06647,1.88006,0.3968,0.16667,0.10465,0.0482,2.50667,6.47932,1.28762,0.000130596,0.000130596,0.000130596
8,77.5434,2.24432,3.19214,1.37031,0.4783,0.16667,0.20077,0.09444,2.42156,5.55164,1.23837,0.000140078,0.000140078,0.000140078
9,86.4569,2.19261,2.79204,1.33167,0.82807,0.16667,0.28087,0.10814,2.37108,4.66857,1.21905,0.00014673,0.00014673,0.00014673
10,95.1437,2.42688,3.22863,1.56408,0.3207,0.5,0.32781,0.11063,2.32849,4.09734,1.22066,0.000150552,0.000150552,0.000150552
11,104.846,2.675,4.03853,1.61278,0.20631,0.33333,0.31118,0.13962,2.36947,3.71913,1.23683,0.000151545,0.000151545,0.000151545
12,116.798,2.42367,3.87944,1.42461,0.20631,0.33333,0.31118,0.13962,2.36947,3.71913,1.23683,0.000149709,0.000149709,0.000149709
13,126.343,2.3933,4.24812,1.49472,0.48066,0.33333,0.31326,0.13903,2.41691,3.36706,1.24694,0.000145044,0.000145044,0.000145044
14,135.789,2.34893,4.33891,1.49269,0.19496,0.16667,0.10216,0.04636,2.61617,3.20829,1.26803,0.000137548,0.000137548,0.000137548
15,144.368,2.12464,3.71129,1.44299,0.19496,0.16667,0.10216,0.04636,2.61617,3.20829,1.26803,0.000127224,0.000127224,0.000127224
16,152.916,2.23422,3.69147,1.46993,0.27136,0.16667,0.11099,0.05529,2.61019,3.00723,1.27947,0.00011407,0.00011407,0.00011407
17,161.795,1.85189,3.80107,1.37641,0.29563,0.16667,0.12387,0.05061,2.60304,2.80923,1.27805,9.80866e-05,9.80866e-05,9.80866e-05
18,171.638,1.97847,3.76365,1.22949,0.29563,0.16667,0.12387,0.05061,2.60304,2.80923,1.27805,7.92738e-05,7.92738e-05,7.92738e-05
19,180.845,2.08521,2.91242,1.27121,0.35994,0.16667,0.15368,0.06846,2.76891,2.6901,1.34287,5.76316e-05,5.76316e-05,5.76316e-05
20,189.838,2.19318,3.45595,1.33177,0.35994,0.16667,0.15368,0.06846,2.76891,2.6901,1.34287,3.31599e-05,3.31599e-05,3.31599e-05
1,10.8906,3.09067,7.11589,1.99685,0,0,0,0,2.96171,8.51875,1.57188,1.429e-05,1.429e-05,1.429e-05
2,19.7289,3.02499,8.29815,1.87574,0,0,0,0,2.94198,7.91243,1.5507,4.07479e-05,4.07479e-05,4.07479e-05
3,30.9989,2.76427,5.69848,1.66071,0,0,0,0,2.98266,7.47828,1.54429,6.43764e-05,6.43764e-05,6.43764e-05
4,42.2431,2.4637,6.31,1.5293,0.03125,0.16667,0.0337,0.01348,2.95397,7.60901,1.50507,8.51755e-05,8.51755e-05,8.51755e-05
5,51.5999,2.76087,5.3491,1.65672,0.28762,0.16667,0.07173,0.03115,2.90411,7.24439,1.465,0.000103145,0.000103145,0.000103145
6,67.8405,2.51899,3.76796,1.45763,0.31081,0.16667,0.07889,0.0353,2.69198,7.18454,1.37048,0.000118285,0.000118285,0.000118285
7,80.1802,2.79745,4.06647,1.88006,0.3968,0.16667,0.10465,0.0482,2.50667,6.47932,1.28762,0.000130596,0.000130596,0.000130596
8,93.4185,2.24432,3.19214,1.37031,0.4783,0.16667,0.20077,0.09444,2.42156,5.55164,1.23837,0.000140078,0.000140078,0.000140078
9,103.403,2.19261,2.79204,1.33167,0.82807,0.16667,0.28087,0.10814,2.37108,4.66857,1.21905,0.00014673,0.00014673,0.00014673
10,115.82,2.42688,3.22863,1.56408,0.3207,0.5,0.32781,0.11063,2.32849,4.09734,1.22066,0.000150552,0.000150552,0.000150552
11,127.035,2.675,4.03853,1.61278,0.20631,0.33333,0.31118,0.13962,2.36947,3.71913,1.23683,0.000151545,0.000151545,0.000151545
12,137.706,2.42367,3.87944,1.42461,0.20631,0.33333,0.31118,0.13962,2.36947,3.71913,1.23683,0.000149709,0.000149709,0.000149709
13,149.218,2.3933,4.24812,1.49472,0.48066,0.33333,0.31326,0.13903,2.41691,3.36706,1.24694,0.000145044,0.000145044,0.000145044
14,158.984,2.34893,4.33891,1.49269,0.19496,0.16667,0.10216,0.04636,2.61617,3.20829,1.26803,0.000137548,0.000137548,0.000137548
15,169.872,2.12464,3.71129,1.44299,0.19496,0.16667,0.10216,0.04636,2.61617,3.20829,1.26803,0.000127224,0.000127224,0.000127224
16,179.801,2.23422,3.69147,1.46993,0.27136,0.16667,0.11099,0.05529,2.61019,3.00723,1.27947,0.00011407,0.00011407,0.00011407
17,192.015,1.85189,3.80107,1.37641,0.29563,0.16667,0.12387,0.05061,2.60304,2.80923,1.27805,9.80866e-05,9.80866e-05,9.80866e-05
18,202.772,1.97847,3.76365,1.22949,0.29563,0.16667,0.12387,0.05061,2.60304,2.80923,1.27805,7.92738e-05,7.92738e-05,7.92738e-05
19,213.873,2.08521,2.91242,1.27121,0.35994,0.16667,0.15368,0.06846,2.76891,2.6901,1.34287,5.76316e-05,5.76316e-05,5.76316e-05
20,223.602,2.19318,3.45595,1.33177,0.35994,0.16667,0.15368,0.06846,2.76891,2.6901,1.34287,3.31599e-05,3.31599e-05,3.31599e-05
